,mmsi,operator,day,cnt_row
0,367533290,Cheramie Marine LLC,2020-04-21,806
1,367533290,Cheramie Marine LLC,2020-04-22,799
2,367533290,Cheramie Marine LLC,2020-04-26,794
3,367533290,Cheramie Marine LLC,2020-05-02,787
4,367533290,Cheramie Marine LLC,2020-04-23,787
5,367533290,Cheramie Marine LLC,2020-04-29,782
6,367533290,Cheramie Marine LLC,2020-04-28,770
7,367533290,Cheramie Marine LLC,2020-04-27,765
8,367533290,Cheramie Marine LLC,2020-04-30,764
9,366760650,Crowley Maritime Corp,2020-04-22,744
10,367533290,Cheramie Marine LLC,2020-05-01,743
11,367017440,Foss Maritime Co,2020-04-21,742
12,366755020,Crowley Maritime Corp,2020-04-23,739
13,366760650,Crowley Maritime Corp,2020-04-21,731
14,366994250,Blue Ocean Marine LLC,2020-04-23,730
15,367124980,Cheramie Marine LLC,2020-04-23,726
16,367017440,Foss Maritime Co,2020-04-23,722
17,366979360,Foss Maritime Co,2020-04-23,721
18,367569830,Millennium Maritime Inc,2020-04-24,719
19,367569830,Millennium Maritime Inc,2020-04-22,718
20,366755020,Crowley Maritime Corp,2020-04-21,718
21,367017440,Foss Maritime Co,2020-04-22,717
22,366979360,Foss Maritime Co,2020-04-22,712
23,367017440,Foss Maritime Co,2020-04-27,711
24,367569830,Millennium Maritime Inc,2020-04-23,708
25,366755020,Crowley Maritime Corp,2020-04-22,708
26,366755020,Crowley Maritime Corp,2020-04-24,707
27,366979360,Foss Maritime Co,2020-04-21,703
28,366760650,Crowley Maritime Corp,2020-04-23,701
29,366872980,Hornblower Cruises & Events,2020-04-21,700
30,367017440,Foss Maritime Co,2020-04-30,697
31,366979360,Foss Maritime Co,2020-04-24,695
32,366872980,Hornblower Cruises & Events,2020-04-22,695
33,367124980,Cheramie Marine LLC,2020-04-21,688
34,366760650,Crowley Maritime Corp,2020-04-24,681
35,367124980,Cheramie Marine LLC,2020-04-22,679
36,367124980,Cheramie Marine LLC,2020-04-24,675
37,366755020,Crowley Maritime Corp,2020-04-27,673
38,356872000,Ocean Network Express Pte Ltd,2020-04-27,672
39,367569830,Millennium Maritime Inc,2020-04-21,660
40,356872000,Ocean Network Express Pte Ltd,2020-04-28,659
41,367017440,Foss Maritime Co,2020-04-26,645
42,366760650,Crowley Maritime Corp,2020-04-26,642
43,367124980,Cheramie Marine LLC,2020-04-25,640
44,366755020,Crowley Maritime Corp,2020-04-26,635
45,366857070,Catalina Express,2020-05-02,633
46,366979360,Foss Maritime Co,2020-04-25,632
47,366629000,Pasha Hawaii Holdings LLC,2020-04-23,632
48,366979360,Foss Maritime Co,2020-04-29,631
49,366755020,Crowley Maritime Corp,2020-04-25,629
50,366857070,Catalina Express,2020-04-29,628
51,366629000,Pasha Hawaii Holdings LLC,2020-04-25,627
52,367303000,Vane Line Bunkering Inc,2020-04-21,626
53,366979360,Foss Maritime Co,2020-04-28,626
54,366979360,Foss Maritime Co,2020-04-27,624
55,366629000,Pasha Hawaii Holdings LLC,2020-05-02,621
56,366629000,Pasha Hawaii Holdings LLC,2020-04-28,611
57,366979360,Foss Maritime Co,2020-04-26,610
58,366760650,Crowley Maritime Corp,2020-04-29,609
59,366760650,Crowley Maritime Corp,2020-04-25,609
60,366979360,Foss Maritime Co,2020-05-02,608
61,366629000,Pasha Hawaii Holdings LLC,2020-04-24,604
62,374617000,MSC Mediterranean Shipping Co,2020-04-26,598
63,366979360,Foss Maritime Co,2020-04-30,598
64,366629000,Pasha Hawaii Holdings LLC,2020-04-27,598
65,366857070,Catalina Express,2020-04-30,596
66,366760650,Crowley Maritime Corp,2020-04-28,594
67,367569830,Millennium Maritime Inc,2020-04-25,587
68,367569830,Millennium Maritime Inc,2020-04-29,586
69,366629000,Pasha Hawaii Holdings LLC,2020-04-29,581
70,366629000,Pasha Hawaii Holdings LLC,2020-04-22,581
71,366857070,Catalina Express,2020-04-28,580
72,366629000,Pasha Hawaii Holdings LLC,2020-05-01,580
73,366755020,Crowley Maritime Corp,2020-04-29,579
74,228348900,CMA CGM SA The French Line,2020-04-21,578
75,366760650,Crowley Maritime Corp,2020-05-01,575
76,366760650,Crowley Maritime Corp,2020-04-30,573
77,319563000,Pettittco Ltd,2020-04-23,573
78,366857070,Catalina Express,2020-05-01,573
79,367569830,Millennium Maritime Inc,2020-04-27,570
80,319563000,Pettittco Ltd,2020-04-25,570
81,319563000,Pettittco Ltd,2020-04-26,567
82,367719640,Avalon Freight Services LLC,2020-04-23,566
83,366629000,Pasha Hawaii Holdings LLC,2020-04-26,565
84,538007127,Capital Ship Management Corp,2020-04-22,565
85,366755020,Crowley Maritime Corp,2020-04-28,562
86,366872980,Hornblower Cruises & Events,2020-04-23,561
87,366760650,Crowley Maritime Corp,2020-05-02,560
88,366755020,Crowley Maritime Corp,2020-05-02,560
89,366760650,Crowley Maritime Corp,2020-04-27,560
90,366629000,Pasha Hawaii Holdings LLC,2020-04-30,556
91,366755020,Crowley Maritime Corp,2020-04-30,554
92,319563000,Pettittco Ltd,2020-04-24,553
93,366938510,Sause Bros Inc,2020-04-21,545
94,367569830,Millennium Maritime Inc,2020-04-30,541
95,366755020,Crowley Maritime Corp,2020-05-01,540
96,356560000,JX Ocean Co Ltd,2020-04-24,537
97,367569830,Millennium Maritime Inc,2020-05-02,537
98,566949000,Evergreen Marine Corp,2020-04-23,533
99,367569830,Millennium Maritime Inc,2020-04-26,532
